agent_id,day,from,to
15737,80,arbitrage,contrarian
15737,81,contrarian,momentum
15737,82,momentum,risk_averse
15737,83,risk_averse,contrarian
15737,85,contrarian,arbitrage
15737,86,arbitrage,mean_reversion
15737,87,mean_reversion,contrarian
15737,88,contrarian,momentum
15737,89,momentum,arbitrage
15737,90,arbitrage,mean_reversion
15737,91,mean_reversion,arbitrage
15737,92,arbitrage,mean_reversion
15737,93,mean_reversion,contrarian
15737,94,contrarian,momentum
14973,10,momentum,risk_averse
14973,20,risk_averse,arbitrage
14973,21,arbitrage,risk_averse
14973,22,risk_averse,contrarian
14973,23,contrarian,mean_reversion
14973,24,mean_reversion,risk_averse
14973,27,risk_averse,mean_reversion
14973,30,mean_reversion,risk_averse
14973,42,risk_averse,contrarian
14973,43,contrarian,arbitrage
14973,44,arbitrage,momentum
14973,45,momentum,contrarian
14973,61,contrarian,mean_reversion
14973,62,mean_reversion,contrarian
14973,64,contrarian,risk_averse
14973,65,risk_averse,mean_reversion
14973,66,mean_reversion,momentum
14973,67,momentum,risk_averse
14973,68,risk_averse,momentum
14973,69,momentum,contrarian
14973,71,contrarian,arbitrage
14973,77,arbitrage,momentum
14973,78,momentum,arbitrage
14973,79,arbitrage,mean_reversion
14973,80,mean_reversion,risk_averse
14973,81,risk_averse,contrarian
14973,82,contrarian,mean_reversion
14973,83,mean_reversion,momentum
14973,84,momentum,risk_averse
14973,85,risk_averse,arbitrage
14973,86,arbitrage,mean_reversion
14973,87,mean_reversion,risk_averse
14973,88,risk_averse,contrarian
14973,89,contrarian,risk_averse
14973,90,risk_averse,momentum
14973,91,momentum,mean_reversion
14973,92,mean_reversion,arbitrage
14973,93,arbitrage,momentum
14973,94,momentum,contrarian
14973,95,contrarian,mean_reversion
14973,96,mean_reversion,momentum
14973,97,momentum,risk_averse
14973,98,risk_averse,momentum
14973,99,momentum,mean_reversion
15112,10,momentum,risk_averse
15112,11,risk_averse,contrarian
15112,12,contrarian,risk_averse
15112,22,risk_averse,arbitrage
15112,23,arbitrage,momentum
15112,24,momentum,arbitrage
15112,38,arbitrage,mean_reversion
15112,39,mean_reversion,arbitrage
15112,40,arbitrage,mean_reversion
15112,41,mean_reversion,arbitrage
15112,42,arbitrage,risk_averse
15112,43,risk_averse,momentum
15112,44,momentum,arbitrage
15112,45,arbitrage,risk_averse
15112,79,risk_averse,contrarian
15112,80,contrarian,momentum
15112,81,momentum,mean_reversion
15112,82,mean_reversion,risk_averse
15112,83,risk_averse,arbitrage
15112,84,arbitrage,risk_averse
15112,85,risk_averse,arbitrage
15112,86,arbitrage,contrarian
15112,87,contrarian,momentum
15112,88,momentum,risk_averse
15112,89,risk_averse,arbitrage
15112,90,arbitrage,risk_averse
15112,91,risk_averse,arbitrage
15112,92,arbitrage,contrarian
15112,93,contrarian,momentum
15112,94,momentum,contrarian
15112,95,contrarian,mean_reversion
15112,96,mean_reversion,arbitrage
15112,97,arbitrage,contrarian
15112,98,contrarian,risk_averse
15112,99,risk_averse,arbitrage
15283,10,momentum,contrarian
15283,11,contrarian,risk_averse
15283,20,risk_averse,arbitrage
15283,21,arbitrage,momentum
15283,22,momentum,contrarian
15283,23,contrarian,mean_reversion
15283,24,mean_reversion,momentum
15283,30,momentum,mean_reversion
15283,33,mean_reversion,momentum
15283,34,momentum,contrarian
15283,35,contrarian,risk_averse
15283,36,risk_averse,arbitrage
15283,37,arbitrage,contrarian
15283,38,contrarian,arbitrage
15283,39,arbitrage,risk_averse
15283,40,risk_averse,momentum
15283,41,momentum,arbitrage
15283,42,arbitrage,momentum
15283,43,momentum,contrarian
15283,44,contrarian,momentum
15283,45,momentum,risk_averse
15283,53,risk_averse,arbitrage
15283,54,arbitrage,risk_averse
15283,55,risk_averse,contrarian
15283,56,contrarian,mean_reversion
15283,57,mean_reversion,contrarian
15283,58,contrarian,arbitrage
15283,59,arbitrage,risk_averse
15283,60,risk_averse,mean_reversion
15283,61,mean_reversion,contrarian
15283,62,contrarian,mean_reversion
15283,63,mean_reversion,momentum
15283,65,momentum,mean_reversion
15283,80,mean_reversion,risk_averse
15283,81,risk_averse,contrarian
15283,82,contrarian,momentum
15283,83,momentum,mean_reversion
15283,84,mean_reversion,momentum
15283,85,momentum,contrarian
15283,86,contrarian,momentum
15283,87,momentum,mean_reversion
15283,88,mean_reversion,arbitrage
15283,89,arbitrage,mean_reversion
15283,90,mean_reversion,momentum
15283,91,momentum,arbitrage
15283,92,arbitrage,momentum
15283,93,momentum,mean_reversion
15283,94,mean_reversion,momentum
15283,95,momentum,mean_reversion
15283,96,mean_reversion,arbitrage
15779,10,momentum,risk_averse
15779,20,risk_averse,arbitrage
15779,21,arbitrage,risk_averse
15779,22,risk_averse,arbitrage
15779,23,arbitrage,momentum
15779,24,momentum,arbitrage
15779,37,arbitrage,mean_reversion
15779,38,mean_reversion,risk_averse
15779,39,risk_averse,arbitrage
15779,40,arbitrage,momentum
15779,41,momentum,arbitrage
15779,42,arbitrage,risk_averse
15779,43,risk_averse,arbitrage
15779,44,arbitrage,risk_averse
15779,45,risk_averse,momentum
15779,54,momentum,contrarian
15779,59,contrarian,mean_reversion
15779,60,mean_reversion,arbitrage
15779,61,arbitrage,momentum
15779,62,momentum,arbitrage
15779,64,arbitrage,mean_reversion
15779,65,mean_reversion,contrarian
15779,66,contrarian,risk_averse
15779,78,risk_averse,arbitrage
15779,79,arbitrage,contrarian
15779,80,contrarian,momentum
15779,81,momentum,contrarian
15779,82,contrarian,risk_averse
15779,83,risk_averse,arbitrage
15779,84,arbitrage,mean_reversion
15779,85,mean_reversion,contrarian
15779,86,contrarian,mean_reversion
15779,87,mean_reversion,contrarian
15779,88,contrarian,arbitrage
15832,10,momentum,risk_averse
15832,20,risk_averse,mean_reversion
15832,22,mean_reversion,arbitrage
15832,23,arbitrage,contrarian
15832,24,contrarian,risk_averse
15832,25,risk_averse,mean_reversion
15832,26,mean_reversion,risk_averse
15832,27,risk_averse,contrarian
15832,28,contrarian,momentum
15832,29,momentum,mean_reversion
15832,30,mean_reversion,contrarian
15832,42,contrarian,mean_reversion
15832,43,mean_reversion,risk_averse
15832,44,risk_averse,arbitrage
15832,45,arbitrage,contrarian
15832,46,contrarian,mean_reversion
15832,59,mean_reversion,contrarian
15832,64,contrarian,momentum
15832,65,momentum,arbitrage
15832,66,arbitrage,contrarian
15832,67,contrarian,momentum
15832,68,momentum,arbitrage
15832,69,arbitrage,mean_reversion
15832,78,mean_reversion,arbitrage
15832,79,arbitrage,contrarian
15832,80,contrarian,arbitrage
15832,81,arbitrage,momentum
15832,82,momentum,risk_averse
15832,83,risk_averse,arbitrage
15832,84,arbitrage,momentum
15832,85,momentum,risk_averse
15832,86,risk_averse,momentum
15832,87,momentum,arbitrage
15832,88,arbitrage,risk_averse
15832,89,risk_averse,mean_reversion
15832,90,mean_reversion,arbitrage
15832,91,arbitrage,momentum
15832,92,momentum,mean_reversion
15832,93,mean_reversion,arbitrage
15832,94,arbitrage,momentum
15832,95,momentum,contrarian
15832,96,contrarian,arbitrage
15832,98,arbitrage,mean_reversion
15650,10,momentum,mean_reversion
15650,22,mean_reversion,momentum
15650,23,momentum,contrarian
15650,24,contrarian,mean_reversion
15650,25,mean_reversion,momentum
15650,26,momentum,arbitrage
15650,27,arbitrage,momentum
15650,28,momentum,contrarian
15650,29,contrarian,arbitrage
15650,30,arbitrage,momentum
15650,32,momentum,mean_reversion
15650,33,mean_reversion,risk_averse
15650,34,risk_averse,arbitrage
15650,35,arbitrage,mean_reversion
15650,36,mean_reversion,momentum
15650,37,momentum,risk_averse
15650,38,risk_averse,momentum
15650,39,momentum,arbitrage
15650,40,arbitrage,mean_reversion
15650,41,mean_reversion,arbitrage
15650,42,arbitrage,momentum
15650,43,momentum,contrarian
15650,44,contrarian,mean_reversion
15650,45,mean_reversion,momentum
15650,46,momentum,mean_reversion
15650,47,mean_reversion,risk_averse
15650,49,risk_averse,mean_reversion
15650,51,mean_reversion,arbitrage
15650,53,arbitrage,risk_averse
15650,54,risk_averse,contrarian
15650,64,contrarian,arbitrage
15650,65,arbitrage,momentum
15650,66,momentum,risk_averse
15650,67,risk_averse,arbitrage
15650,68,arbitrage,mean_reversion
15650,69,mean_reversion,risk_averse
15650,77,risk_averse,contrarian
15650,78,contrarian,momentum
15650,79,momentum,mean_reversion
15650,80,mean_reversion,momentum
15650,81,momentum,risk_averse
15650,82,risk_averse,mean_reversion
15650,86,mean_reversion,contrarian
15650,87,contrarian,momentum
15650,88,momentum,risk_averse
15650,89,risk_averse,arbitrage
15650,90,arbitrage,risk_averse
15650,91,risk_averse,mean_reversion
15650,92,mean_reversion,contrarian
15650,93,contrarian,momentum
15650,94,momentum,contrarian
15650,95,contrarian,momentum
15650,96,momentum,mean_reversion
15650,97,mean_reversion,arbitrage
15650,98,arbitrage,mean_reversion
15650,99,mean_reversion,arbitrage
15162,10,momentum,risk_averse
15162,17,risk_averse,mean_reversion
15162,19,mean_reversion,risk_averse
15162,20,risk_averse,momentum
15162,21,momentum,mean_reversion
15162,22,mean_reversion,contrarian
15162,23,contrarian,arbitrage
15162,24,arbitrage,contrarian
15162,30,contrarian,momentum
15162,32,momentum,risk_averse
15162,33,risk_averse,mean_reversion
15162,34,mean_reversion,contrarian
15162,35,contrarian,mean_reversion
15162,36,mean_reversion,arbitrage
15162,37,arbitrage,mean_reversion
15162,38,mean_reversion,momentum
15162,39,momentum,risk_averse
15162,40,risk_averse,momentum
15162,41,momentum,contrarian
15162,42,contrarian,risk_averse
15162,43,risk_averse,contrarian
15162,44,contrarian,arbitrage
15162,45,arbitrage,momentum
15162,46,momentum,risk_averse
15162,78,risk_averse,mean_reversion
15162,79,mean_reversion,momentum
15162,80,momentum,arbitrage
15162,81,arbitrage,contrarian
15162,82,contrarian,risk_averse
15162,83,risk_averse,momentum
15162,84,momentum,contrarian
15162,85,contrarian,risk_averse
15162,86,risk_averse,arbitrage
15162,87,arbitrage,mean_reversion
15162,88,mean_reversion,risk_averse
15196,10,momentum,arbitrage
15196,12,arbitrage,mean_reversion
15196,23,mean_reversion,risk_averse
15196,26,risk_averse,momentum
15196,27,momentum,mean_reversion
15196,28,mean_reversion,arbitrage
15196,29,arbitrage,risk_averse
15196,30,risk_averse,momentum
15196,31,momentum,arbitrage
15196,32,arbitrage,mean_reversion
15196,33,mean_reversion,contrarian
15196,34,contrarian,arbitrage
15196,35,arbitrage,mean_reversion
15196,36,mean_reversion,risk_averse
15196,37,risk_averse,contrarian
15196,38,contrarian,risk_averse
15196,39,risk_averse,mean_reversion
15196,42,mean_reversion,arbitrage
15196,43,arbitrage,momentum
15196,44,momentum,arbitrage
15196,45,arbitrage,momentum
15196,46,momentum,risk_averse
15196,47,risk_averse,arbitrage
15196,50,arbitrage,mean_reversion
15196,51,mean_reversion,arbitrage
15196,52,arbitrage,risk_averse
15196,53,risk_averse,arbitrage
15196,55,arbitrage,risk_averse
15196,56,risk_averse,contrarian
15196,57,contrarian,arbitrage
15196,58,arbitrage,mean_reversion
15196,59,mean_reversion,arbitrage
15196,62,arbitrage,momentum
15196,78,momentum,contrarian
15196,79,contrarian,momentum
15196,80,momentum,contrarian
15196,81,contrarian,arbitrage
15196,82,arbitrage,risk_averse
15196,83,risk_averse,momentum
15196,84,momentum,mean_reversion
15196,85,mean_reversion,momentum
15196,86,momentum,mean_reversion
15196,87,mean_reversion,arbitrage
15196,88,arbitrage,momentum
15196,89,momentum,contrarian
15196,93,contrarian,risk_averse
15075,10,momentum,risk_averse
15075,20,risk_averse,mean_reversion
15075,21,mean_reversion,risk_averse
15075,22,risk_averse,arbitrage
15075,23,arbitrage,momentum
15075,24,momentum,mean_reversion
15075,37,mean_reversion,arbitrage
15075,38,arbitrage,mean_reversion
15075,39,mean_reversion,arbitrage
15075,40,arbitrage,mean_reversion
15075,41,mean_reversion,arbitrage
15075,42,arbitrage,mean_reversion
15075,43,mean_reversion,contrarian
15075,44,contrarian,arbitrage
15075,45,arbitrage,mean_reversion
15075,57,mean_reversion,momentum
15075,58,momentum,arbitrage
15075,59,arbitrage,mean_reversion
15075,60,mean_reversion,risk_averse
15075,61,risk_averse,momentum
15075,65,momentum,arbitrage
15075,80,arbitrage,contrarian
15075,81,contrarian,risk_averse
15075,82,risk_averse,contrarian
15075,83,contrarian,arbitrage
15075,84,arbitrage,risk_averse
15075,85,risk_averse,momentum
15075,86,momentum,arbitrage
15075,87,arbitrage,risk_averse
15075,88,risk_averse,contrarian
15075,89,contrarian,momentum
15075,90,momentum,risk_averse
15075,92,risk_averse,momentum
15075,93,momentum,mean_reversion
15075,94,mean_reversion,contrarian
15075,95,contrarian,momentum
15075,96,momentum,risk_averse
15075,97,risk_averse,arbitrage
15075,98,arbitrage,risk_averse
15075,99,risk_averse,contrarian
15023,10,momentum,mean_reversion
15023,15,mean_reversion,arbitrage
15023,16,arbitrage,momentum
15023,21,momentum,risk_averse
15023,22,risk_averse,mean_reversion
15023,23,mean_reversion,arbitrage
15023,24,arbitrage,risk_averse
15023,27,risk_averse,contrarian
15023,28,contrarian,risk_averse
15023,29,risk_averse,momentum
15023,30,momentum,contrarian
15023,39,contrarian,risk_averse
15023,40,risk_averse,momentum
15023,41,momentum,risk_averse
15023,42,risk_averse,arbitrage
15023,43,arbitrage,risk_averse
15023,44,risk_averse,arbitrage
15023,57,arbitrage,contrarian
15023,58,contrarian,risk_averse
15023,59,risk_averse,mean_reversion
15023,60,mean_reversion,contrarian
15023,61,contrarian,mean_reversion
15023,62,mean_reversion,arbitrage
15023,65,arbitrage,risk_averse
15023,66,risk_averse,mean_reversion
15023,78,mean_reversion,risk_averse
15023,79,risk_averse,momentum
15023,81,momentum,arbitrage
15023,82,arbitrage,mean_reversion
15023,85,mean_reversion,momentum
15023,86,momentum,contrarian
15023,87,contrarian,mean_reversion
15023,88,mean_reversion,contrarian
15023,89,contrarian,risk_averse
15023,90,risk_averse,momentum
15023,91,momentum,mean_reversion
15023,92,mean_reversion,momentum
15023,93,momentum,contrarian
15023,94,contrarian,mean_reversion
15023,95,mean_reversion,momentum
15023,96,momentum,mean_reversion
15023,97,mean_reversion,arbitrage
15023,98,arbitrage,contrarian
15023,99,contrarian,momentum
14841,10,momentum,risk_averse
14841,20,risk_averse,mean_reversion
14841,22,mean_reversion,risk_averse
14841,23,risk_averse,momentum
14841,24,momentum,arbitrage
14841,36,arbitrage,contrarian
14841,37,contrarian,momentum
14841,38,momentum,contrarian
14841,39,contrarian,momentum
14841,40,momentum,arbitrage
14841,41,arbitrage,risk_averse
14841,42,risk_averse,mean_reversion
14841,43,mean_reversion,momentum
14841,44,momentum,contrarian
14841,45,contrarian,mean_reversion
14841,57,mean_reversion,arbitrage
14841,58,arbitrage,contrarian
14841,59,contrarian,momentum
14841,60,momentum,risk_averse
14841,62,risk_averse,contrarian
14841,64,contrarian,momentum
14841,65,momentum,mean_reversion
14841,66,mean_reversion,contrarian
14841,67,contrarian,arbitrage
14841,68,arbitrage,risk_averse
14841,69,risk_averse,mean_reversion
14841,78,mean_reversion,contrarian
14841,79,contrarian,arbitrage
14841,80,arbitrage,mean_reversion
14841,81,mean_reversion,momentum
14841,82,momentum,risk_averse
14841,83,risk_averse,mean_reversion
14841,84,mean_reversion,risk_averse
14841,85,risk_averse,mean_reversion
14841,86,mean_reversion,contrarian
14841,87,contrarian,risk_averse
14841,88,risk_averse,arbitrage
14841,92,arbitrage,contrarian
14841,93,contrarian,mean_reversion
14841,94,mean_reversion,contrarian
14841,98,contrarian,momentum
14841,99,momentum,contrarian
15213,10,momentum,arbitrage
15213,11,arbitrage,mean_reversion
15213,12,mean_reversion,arbitrage
15213,23,arbitrage,momentum
15213,25,momentum,mean_reversion
15213,26,mean_reversion,momentum
15213,27,momentum,risk_averse
15213,28,risk_averse,arbitrage
15213,29,arbitrage,risk_averse
15213,30,risk_averse,contrarian
15213,42,contrarian,arbitrage
15213,43,arbitrage,risk_averse
15213,44,risk_averse,contrarian
15213,45,contrarian,momentum
15213,53,momentum,mean_reversion
15213,54,mean_reversion,risk_averse
15213,55,risk_averse,momentum
15213,56,momentum,arbitrage
15213,57,arbitrage,momentum
15213,58,momentum,risk_averse
15213,59,risk_averse,arbitrage
15213,60,arbitrage,momentum
15213,61,momentum,contrarian
15213,71,contrarian,arbitrage
15213,78,arbitrage,contrarian
15213,79,contrarian,momentum
15213,80,momentum,mean_reversion
15213,81,mean_reversion,contrarian
15213,82,contrarian,risk_averse
15213,83,risk_averse,momentum
15213,84,momentum,arbitrage
15213,85,arbitrage,risk_averse
15213,86,risk_averse,arbitrage
15213,87,arbitrage,contrarian
15213,88,contrarian,momentum
15213,89,momentum,mean_reversion
15213,90,mean_reversion,risk_averse
15213,92,risk_averse,arbitrage
15213,93,arbitrage,contrarian
15213,94,contrarian,momentum
15538,10,momentum,risk_averse
15538,20,risk_averse,arbitrage
15538,22,arbitrage,mean_reversion
15538,23,mean_reversion,momentum
15538,24,momentum,risk_averse
15538,27,risk_averse,mean_reversion
15538,28,mean_reversion,contrarian
15538,29,contrarian,mean_reversion
15538,30,mean_reversion,contrarian
15538,42,contrarian,mean_reversion
15538,43,mean_reversion,contrarian
15538,44,contrarian,risk_averse
15538,45,risk_averse,arbitrage
15538,78,arbitrage,risk_averse
15538,79,risk_averse,mean_reversion
15538,80,mean_reversion,momentum
15538,81,momentum,mean_reversion
15538,82,mean_reversion,momentum
15538,83,momentum,contrarian
15538,84,contrarian,momentum
15538,85,momentum,mean_reversion
15538,86,mean_reversion,contrarian
15538,87,contrarian,mean_reversion
15538,88,mean_reversion,contrarian
15538,89,contrarian,mean_reversion
15538,90,mean_reversion,risk_averse
15538,91,risk_averse,momentum
15538,92,momentum,arbitrage
15538,93,arbitrage,contrarian
15538,94,contrarian,mean_reversion
15538,95,mean_reversion,arbitrage
15538,98,arbitrage,momentum
15487,10,momentum,arbitrage
15487,15,arbitrage,momentum
15487,22,momentum,arbitrage
15487,23,arbitrage,mean_reversion
15487,27,mean_reversion,risk_averse
15487,28,risk_averse,mean_reversion
15487,29,mean_reversion,risk_averse
15487,30,risk_averse,contrarian
15487,40,contrarian,arbitrage
15487,42,arbitrage,contrarian
15487,43,contrarian,arbitrage
15487,44,arbitrage,mean_reversion
15487,45,mean_reversion,contrarian
15487,59,contrarian,momentum
15487,60,momentum,mean_reversion
15487,61,mean_reversion,risk_averse
15487,62,risk_averse,arbitrage
15487,78,arbitrage,mean_reversion
15487,79,mean_reversion,arbitrage
15487,80,arbitrage,mean_reversion
15487,81,mean_reversion,contrarian
15487,82,contrarian,risk_averse
15487,83,risk_averse,momentum
15487,84,momentum,risk_averse
15487,85,risk_averse,contrarian
15487,86,contrarian,mean_reversion
15487,87,mean_reversion,risk_averse
15487,88,risk_averse,contrarian
15487,89,contrarian,risk_averse
15487,90,risk_averse,momentum
15487,91,momentum,contrarian
15487,92,contrarian,risk_averse
15487,93,risk_averse,arbitrage
15487,94,arbitrage,mean_reversion
15487,95,mean_reversion,momentum
15487,96,momentum,risk_averse
15487,97,risk_averse,contrarian
15487,98,contrarian,risk_averse
15487,99,risk_averse,momentum
15735,10,momentum,risk_averse
15735,11,risk_averse,contrarian
15735,12,contrarian,momentum
15735,22,momentum,mean_reversion
15735,23,mean_reversion,risk_averse
15735,27,risk_averse,momentum
15735,28,momentum,risk_averse
15735,29,risk_averse,momentum
15735,30,momentum,contrarian
15735,42,contrarian,risk_averse
15735,43,risk_averse,contrarian
15735,44,contrarian,risk_averse
15735,45,risk_averse,contrarian
15735,61,contrarian,arbitrage
15735,62,arbitrage,momentum
15735,63,momentum,contrarian
15735,64,contrarian,risk_averse
15735,65,risk_averse,arbitrage
15735,66,arbitrage,momentum
15735,67,momentum,mean_reversion
15735,79,mean_reversion,contrarian
15735,80,contrarian,mean_reversion
15735,81,mean_reversion,momentum
15735,82,momentum,contrarian
15735,83,contrarian,momentum
15735,84,momentum,risk_averse
15735,85,risk_averse,contrarian
15735,86,contrarian,mean_reversion
15735,87,mean_reversion,momentum
15735,88,momentum,contrarian
15735,89,contrarian,momentum
15735,90,momentum,contrarian
15735,91,contrarian,arbitrage
15735,92,arbitrage,momentum
15735,93,momentum,arbitrage
15735,94,arbitrage,risk_averse
15735,95,risk_averse,mean_reversion
15735,96,mean_reversion,momentum
15735,97,momentum,risk_averse
15735,98,risk_averse,arbitrage
15735,99,arbitrage,risk_averse
15067,10,momentum,arbitrage
15067,23,arbitrage,contrarian
15067,24,contrarian,risk_averse
15067,25,risk_averse,contrarian
15067,26,contrarian,momentum
15067,27,momentum,arbitrage
15067,28,arbitrage,contrarian
15067,29,contrarian,mean_reversion
15067,30,mean_reversion,arbitrage
15067,31,arbitrage,contrarian
15067,32,contrarian,arbitrage
15067,33,arbitrage,momentum
15067,34,momentum,risk_averse
15067,35,risk_averse,mean_reversion
15067,36,mean_reversion,momentum
15067,37,momentum,risk_averse
15067,39,risk_averse,contrarian
15067,40,contrarian,mean_reversion
15067,42,mean_reversion,momentum
15067,43,momentum,risk_averse
15067,44,risk_averse,contrarian
15067,45,contrarian,momentum
15067,46,momentum,risk_averse
15067,49,risk_averse,momentum
15067,50,momentum,arbitrage
15067,51,arbitrage,contrarian
15067,53,contrarian,mean_reversion
15067,54,mean_reversion,contrarian
15067,61,contrarian,mean_reversion
15067,64,mean_reversion,arbitrage
15067,65,arbitrage,momentum
15067,66,momentum,arbitrage
15067,67,arbitrage,momentum
15067,79,momentum,arbitrage
15067,80,arbitrage,contrarian
15067,81,contrarian,arbitrage
15067,82,arbitrage,mean_reversion
15067,83,mean_reversion,contrarian
15067,84,contrarian,arbitrage
15067,85,arbitrage,mean_reversion
15067,86,mean_reversion,contrarian
15067,87,contrarian,mean_reversion
15067,88,mean_reversion,arbitrage
15067,89,arbitrage,momentum
15067,90,momentum,arbitrage
15067,91,arbitrage,momentum
15067,92,momentum,risk_averse
15067,93,risk_averse,contrarian
15067,94,contrarian,momentum
15067,95,momentum,risk_averse
15267,10,momentum,mean_reversion
15267,11,mean_reversion,risk_averse
15267,12,risk_averse,mean_reversion
15267,23,mean_reversion,contrarian
15267,24,contrarian,risk_averse
15267,25,risk_averse,contrarian
15267,26,contrarian,momentum
15267,27,momentum,arbitrage
15267,28,arbitrage,contrarian
15267,29,contrarian,risk_averse
15267,30,risk_averse,mean_reversion
15267,31,mean_reversion,momentum
15267,32,momentum,risk_averse
15267,33,risk_averse,mean_reversion
15267,34,mean_reversion,arbitrage
15267,35,arbitrage,mean_reversion
15267,36,mean_reversion,contrarian
15267,37,contrarian,mean_reversion
15267,38,mean_reversion,risk_averse
15267,39,risk_averse,mean_reversion
15267,40,mean_reversion,contrarian
15267,41,contrarian,arbitrage
15267,51,arbitrage,mean_reversion
15267,78,mean_reversion,risk_averse
15267,79,risk_averse,momentum
15267,81,momentum,arbitrage
15267,82,arbitrage,mean_reversion
15267,84,mean_reversion,arbitrage
15267,85,arbitrage,contrarian
15267,86,contrarian,mean_reversion
15267,88,mean_reversion,contrarian
15267,89,contrarian,mean_reversion
15267,90,mean_reversion,risk_averse
15267,91,risk_averse,momentum
15267,92,momentum,contrarian
15267,93,contrarian,arbitrage
15267,94,arbitrage,mean_reversion
15267,95,mean_reversion,risk_averse
15267,96,risk_averse,mean_reversion
15267,97,mean_reversion,momentum
15267,98,momentum,arbitrage
15267,99,arbitrage,contrarian
15052,10,momentum,mean_reversion
15052,21,mean_reversion,momentum
15052,22,momentum,contrarian
15052,23,contrarian,arbitrage
15052,24,arbitrage,contrarian
15052,25,contrarian,mean_reversion
15052,27,mean_reversion,momentum
15052,28,momentum,risk_averse
15052,29,risk_averse,momentum
15052,30,momentum,mean_reversion
15052,31,mean_reversion,contrarian
15052,32,contrarian,risk_averse
15052,33,risk_averse,arbitrage
15052,34,arbitrage,momentum
15052,35,momentum,contrarian
15052,36,contrarian,risk_averse
15052,37,risk_averse,mean_reversion
15052,38,mean_reversion,arbitrage
15052,39,arbitrage,contrarian
15052,40,contrarian,mean_reversion
15052,42,mean_reversion,arbitrage
15052,43,arbitrage,mean_reversion
15052,44,mean_reversion,contrarian
15052,45,contrarian,arbitrage
15052,46,arbitrage,contrarian
15052,47,contrarian,mean_reversion
15052,49,mean_reversion,risk_averse
15052,50,risk_averse,contrarian
15052,51,contrarian,risk_averse
15052,53,risk_averse,momentum
15052,54,momentum,contrarian
15052,61,contrarian,mean_reversion
15052,62,mean_reversion,arbitrage
15052,64,arbitrage,risk_averse
15052,65,risk_averse,arbitrage
15052,66,arbitrage,momentum
15052,67,momentum,risk_averse
15052,79,risk_averse,contrarian
15052,80,contrarian,momentum
15052,81,momentum,mean_reversion
15052,82,mean_reversion,contrarian
15052,83,contrarian,arbitrage
15052,84,arbitrage,mean_reversion
15052,85,mean_reversion,momentum
15052,86,momentum,arbitrage
15052,87,arbitrage,momentum
15052,88,momentum,contrarian
15052,99,contrarian,momentum
15211,10,momentum,contrarian
15211,23,contrarian,momentum
15211,27,momentum,contrarian
15211,29,contrarian,risk_averse
15211,30,risk_averse,mean_reversion
15211,31,mean_reversion,momentum
15211,32,momentum,mean_reversion
15211,33,mean_reversion,momentum
